=========================================================
             VOLCADO DE CACHÉ DE TIA PORTAL              
=========================================================
Fecha de volcado: 10/03/2026 15:40:41
PLC: PLC_C9_ED11
Total Bloques: 651
=========================================================

[Nombre] _borrar                             | [Num] 4     | [Tipo API] GlobalDB     | [Ruta] Root
[Nombre] DB4601_PINT                         | [Num] 4601  | [Tipo API] GlobalDB     | [Ruta] 1600_Fermentador401\4600_Parametros
[Nombre] DB4605_PREAL                        | [Num] 4605  | [Tipo API] GlobalDB     | [Ruta] 1605_Fermentador402\4605_Parametros
[Nombre] DB4606_PINT                         | [Num] 4606  | [Tipo API] GlobalDB     | [Ruta] 1605_Fermentador402\4605_Parametros
[Nombre] DB4610_PREAL                        | [Num] 4610  | [Tipo API] GlobalDB     | [Ruta] 1610_Fermentador403\4610_Parametros
[Nombre] DB4611_PINT                         | [Num] 4611  | [Tipo API] GlobalDB     | [Ruta] 1610_Fermentador403\4610_Parametros
[Nombre] DB4800_PREAL                        | [Num] 4800  | [Tipo API] GlobalDB     | [Ruta] 1800_EnjuagueWaldner\4800_Parametros
[Nombre] DB4801_PINT                         | [Num] 4801  | [Tipo API] GlobalDB     | [Ruta] 1800_EnjuagueWaldner\4800_Parametros
[Nombre] DB4990_PREAL                        | [Num] 4990  | [Tipo API] GlobalDB     | [Ruta] 1990_EnvioTqMovilWaldner_PROVISIONAL\4990_Parametros
[Nombre] DB4991_PINT                         | [Num] 4991  | [Tipo API] GlobalDB     | [Ruta] 1990_EnvioTqMovilWaldner_PROVISIONAL\4990_Parametros
[Nombre] DB5_LED_STATUS                      | [Num] 5     | [Tipo API] GlobalDB     | [Ruta] 0_Sistema
[Nombre] DB500_CIP1_PRINCIPAL                | [Num] 500   | [Tipo API] GlobalDB     | [Ruta] 500_CIP1\500_CIP1_Principal
[Nombre] DB5000_ALM                          | [Num] 5000  | [Tipo API] GlobalDB     | [Ruta] 5000_AlarmasGenerales
[Nombre] DB505_CIP1_L1                       | [Num] 505   | [Tipo API] GlobalDB     | [Ruta] 500_CIP1\505_CIP1_Linea_1
[Nombre] DB506_CIP1_L1_SOSA_LIMP             | [Num] 506   | [Tipo API] InstanceDB   | [Ruta] 500_CIP1\505_CIP1_Linea_1
[Nombre] DB507_CIP1_L1_SOSA_ENJ              | [Num] 507   | [Tipo API] InstanceDB   | [Ruta] 500_CIP1\505_CIP1_Linea_1
[Nombre] DB508_CIP1_L1_ACIDO_LIMP            | [Num] 508   | [Tipo API] InstanceDB   | [Ruta] 500_CIP1\505_CIP1_Linea_1
[Nombre] DB509_CIP1_L1_ACIDO_ENJ             | [Num] 509   | [Tipo API] InstanceDB   | [Ruta] 500_CIP1\505_CIP1_Linea_1
[Nombre] DB510_CIP1_L1_SOLO_ENJ              | [Num] 510   | [Tipo API] InstanceDB   | [Ruta] 500_CIP1\505_CIP1_Linea_1
[Nombre] DB5100_PREAL                        | [Num] 5100  | [Tipo API] GlobalDB     | [Ruta] 1100_CIP_Zona6\5100_Parametros
[Nombre] DB5101_PINT                         | [Num] 5101  | [Tipo API] GlobalDB     | [Ruta] 1100_CIP_Zona6\5100_Parametros
[Nombre] DB511_CIP1_L1_DESINF_LIMP           | [Num] 511   | [Tipo API] InstanceDB   | [Ruta] 500_CIP1\505_CIP1_Linea_1
[Nombre] DB512_CIP1_L1_DESINF_ENJ            | [Num] 512   | [Tipo API] InstanceDB   | [Ruta] 500_CIP1\505_CIP1_Linea_1
[Nombre] DB513_CIP1_L1_ESTERIL               | [Num] 513   | [Tipo API] InstanceDB   | [Ruta] 500_CIP1\505_CIP1_Linea_1
[Nombre] DB514_CIP1_L1_AGUA_RECUP            | [Num] 514   | [Tipo API] InstanceDB   | [Ruta] 500_CIP1\505_CIP1_Linea_1
